"ticker","type_stock","date_approval","value_cash","ratio","corporate_action","last_date_prior_ex","date_closing_price_prior_ex_date","closing_price_prior_ex_date","quoted_per_shares","corporate_action_price","last_date_time_prior_ex"
"ALUP11","UNT","2016-04-20","0,48","1,0","DIVIDENDO","2016-04-20","2016-04-20","15,1","1,0","3,178808","2016-04-20T00:00:00"
"ALUP11","UNT","2017-04-25","0,2049941926","1,0","DIVIDENDO","2017-04-25","2017-04-25","19,35","1,0","1,059402","2017-04-25T00:00:00"
"ALUP11","UNT","2017-04-25","0,3074912889","1,0","DIVIDENDO","2017-04-25","2017-04-25","19,35","1,0","1,589102","2017-04-25T00:00:00"
"ALUP11","UNT","2018-01-29","0,21","1,0","DIVIDENDO","2018-02-01","2018-02-01","18,69","1,0","1,123596","2018-02-01T00:00:00"
"ALUP11","UNT","2018-04-26","0,33","1,0","DIVIDENDO","2018-04-26","2018-04-26","17,67","1,0","1,867572","2018-04-26T00:00:00"
"ALUP11","UNT","2018-12-03","0,18","1,0","DIVIDENDO","2018-12-06","2018-12-06","18,42","1,0","0,977199","2018-12-06T00:00:00"
"ALUP11","UNT","2019-04-29","0,45","1,0","DIVIDENDO","2019-04-29","2019-04-29","23,4","1,0","1,923077","2019-04-29T00:00:00"
"ALUP11","UNT","2020-04-27","0,69","1,0","DIVIDENDO","2020-04-27","2020-04-27","23,3","1,0","2,961373","2020-04-27T00:00:00"
"ALUP11","UNT","2021-04-27","0,086889655","1,0","DIVIDENDO","2021-04-27","2021-04-27","26,58","1,0","0,326899","2021-04-27T00:00:00"
"ALUP11","UNT","2021-04-27","0,153110345","1,0","DIVIDENDO","2021-04-27","2021-04-27","26,58","1,0","0,576036","2021-04-27T00:00:00"
"ALUP11","UNT","2021-04-27","0,3","1,0","DIVIDENDO","2021-04-27","2021-04-27","26,58","1,0","1,128668","2021-04-27T00:00:00"
"ALUP11","UNT","2021-04-27","0,3","1,0","DIVIDENDO","2021-04-27","2021-04-27","26,58","1,0","1,128668","2021-04-27T00:00:00"
"ALUP11","UNT","2022-04-11","0,45","1,0","DIVIDENDO","2022-04-11","2022-04-11","26,86","1,0","1,675354","2022-04-11T00:00:00"
"ALUP11","UNT","2022-04-11","0,33","1,0","DIVIDENDO","2022-04-11","2022-04-11","26,86","1,0","1,228593","2022-04-11T00:00:00"
"ALUP11","UNT","2022-04-11","0,45","1,0","DIVIDENDO","2022-04-11","2022-04-11","26,86","1,0","1,675354","2022-04-11T00:00:00"
"ALUP11","UNT","2023-04-17","1,44","1,0","DIVIDENDO","2023-04-17","2023-04-17","29,11","1,0","4,946754","2023-04-17T00:00:00"
"ALUP11","UNT","2023-05-10","0,12","1,0","DIVIDENDO","2023-05-15","2023-05-15","28,83","1,0","0,416233","2023-05-15T00:00:00"
"ALUP11","UNT","2023-08-09","0,12","1,0","DIVIDENDO","2023-08-16","2023-08-16","28,31","1,0","0,423878","2023-08-16T00:00:00"
"AMBP3","ON","2021-04-30","0,094268","1,0","DIVIDENDO","2021-04-30","2021-04-30","29,08","1,0","0,324168","2021-04-30T00:00:00"
"AMBP3","ON","2022-05-04","0,3031707","1,0","DIVIDENDO","2022-05-04","2022-05-04","34,48","1,0","0,879265","2022-05-04T00:00:00"
"AMBP3","ON","2023-04-28","0,13413464","1,0","DIVIDENDO","2023-05-15","2023-05-15","21,18","1,0","0,633308","2023-05-15T00:00:00"
"ANIM3","ON","2015-03-30","0,4728","1,0","DIVIDENDO","2015-03-30","2015-03-30","15,55","1,0","3,040514","2015-03-30T00:00:00"
"ANIM3","ON","2016-04-25","0,1875","1,0","DIVIDENDO","2016-04-25","2016-04-25","10,45","1,0","1,794258","2016-04-25T00:00:00"
"ANIM3","ON","2017-04-26","0,0619","1,0","DIVIDENDO","2017-04-26","2017-04-26","13,48","1,0","0,459199","2017-04-26T00:00:00"
"ANIM3","ON","2018-04-25","0,2536","1,0","DIVIDENDO","2018-04-25","2018-04-25","22,28","1,0","1,138241","2018-04-25T00:00:00"
"ANIM3","ON","2019-04-25","0,0069","1,0","DIVIDENDO","2019-04-25","2019-04-25","19,63","1,0","0,03515","2019-04-25T00:00:00"
"ARML3","ON","2021-11-12","0,0672635129","1,0","DIVIDENDO","2021-11-19","2021-11-19","25,7","1,0","0,261726","2021-11-19T00:00:00"
"ARML3","ON","2022-04-27","0,04499299162","1,0","JRS CAP PROPRIO","2022-05-03","2022-05-03","13,5","1,0","0,333281","2022-05-03T00:00:00"
"ARML3","ON","2022-04-29","0,0712084879","1,0","DIVIDENDO","2022-05-05","2022-05-05","13,51","1,0","0,52708","2022-05-05T00:00:00"
"ARML3","ON","2022-06-24","0,04140134173","1,0","JRS CAP PROPRIO","2022-06-30","2022-06-30","12,14","1,0","0,341032","2022-06-30T00:00:00"
"ARML3","ON","2022-06-24","0,03188619833","1,0","DIVIDENDO","2022-06-30","2022-06-30","12,14","1,0","0,262654","2022-06-30T00:00:00"
"ARML3","ON","2022-09-22","0,05506085774","1,0","JRS CAP PROPRIO","2022-09-27","2022-09-27","15,29","1,0","0,36011","2022-09-27T00:00:00"
"ARML3","ON","2022-09-22","0,04346909821","1,0","DIVIDENDO","2022-09-27","2022-09-27","15,29","1,0","0,284298","2022-09-27T00:00:00"
"ARML3","ON","2022-12-22","0,06660310587","1,0","JRS CAP PROPRIO","2022-12-28","2022-12-28","12,16","1,0","0,547723","2022-12-28T00:00:00"
"ARML3","ON","2022-12-22","0,05212416982","1,0","DIVIDENDO","2022-12-28","2022-12-28","12,16","1,0","0,428653","2022-12-28T00:00:00"
"ARML3","ON","2023-03-29","0,03474944654","1,0","JRS CAP PROPRIO","2023-04-03","2023-04-03","11,85","1,0","0,293244","2023-04-03T00:00:00"
"ARML3","ON","2023-06-30","0,0868736164","1,0","JRS CAP PROPRIO","2023-07-05","2023-07-05","15,06","1,0","0,57685","2023-07-05T00:00:00"
"ARZZ3","ON","2015-04-24","0,3985923963","1,0","DIVIDENDO","2015-04-24","2015-04-24","24,3","1,0","1,640298","2015-04-24T00:00:00"
"ARZZ3","ON","2015-06-15","0,06543096","1,0","JRS CAP PROPRIO","2015-06-17","2015-06-17","24,01","1,0","0,272515","2015-06-17T00:00:00"
"ARZZ3","ON","2015-06-15","0,10994331","1,0","JRS CAP PROPRIO","2015-06-17","2015-06-17","24,01","1,0","0,457906","2015-06-17T00:00:00"
"ARZZ3","ON","2015-08-03","0,106923678","1,0","DIVIDENDO","2015-08-03","2015-08-03","20,5","1,0","0,521579","2015-08-03T00:00:00"
"ARZZ3","ON","2015-12-14","0,0925026428","1,0","JRS CAP PROPRIO","2015-12-15","2015-12-15","23,1","1,0","0,400444","2015-12-15T00:00:00"
"ARZZ3","ON","2014-03-17","0,10987796741","1,0","JRS CAP PROPRIO","2015-12-15","2015-12-15","23,1","1,0","0,475662","2015-12-15T00:00:00"
"ARZZ3","ON","2016-04-29","0,2107951","1,0","DIVIDENDO","2016-04-29","2016-04-29","24,25","1,0","0,869258","2016-04-29T00:00:00"
"ARZZ3","ON","2016-06-21","0,24659646003","1,0","JRS CAP PROPRIO","2016-06-24","2016-06-24","26,75","1,0","0,921856","2016-06-24T00:00:00"
"ARZZ3","ON","2016-09-26","0,12671276973","1,0","DIVIDENDO","2016-09-29","2016-09-29","26,69","1,0","0,474757","2016-09-29T00:00:00"
"ARZZ3","ON","2016-12-12","0,25044576714","1,0","JRS CAP PROPRIO","2016-12-15","2016-12-15","24,21","1,0","1,034472","2016-12-15T00:00:00"
"ARZZ3","ON","2017-04-28","0,59632810918","1,0","DIVIDENDO","2017-04-28","2017-04-28","33,7","1,0","1,76952","2017-04-28T00:00:00"
"ARZZ3","ON","2017-06-26","0,23995746101","1,0","JRS CAP PROPRIO","2017-06-30","2017-06-30","32,71","1,0","0,733591","2017-06-30T00:00:00"
"ARZZ3","ON","2017-08-28","0,98960694944","1,0","DIVIDENDO","2017-09-04","2017-09-04","46,2","1,0","2,142006","2017-09-04T00:00:00"
"ARZZ3","ON","2017-12-18","0,23311947346","1,0","JRS CAP PROPRIO","2017-12-21","2017-12-21","51,7","1,0","0,450908","2017-12-21T00:00:00"
"ARZZ3","ON","2018-04-20","0,03116590482","1,0","DIVIDENDO","2018-04-20","2018-04-20","53,27","1,0","0,058506","2018-04-20T00:00:00"
"ARZZ3","ON","2018-05-17","0,5128726463","1,0","DIVIDENDO","2018-05-23","2018-05-23","45,45","1,0","1,128433","2018-05-23T00:00:00"
"ARZZ3","ON","2018-06-25","0,23278588607","1,0","JRS CAP PROPRIO","2018-06-29","2018-06-29","44,6","1,0","0,521941","2018-06-29T00:00:00"
"ARZZ3","ON","2018-10-02","0,27700742321","1,0","DIVIDENDO","2018-10-08","2018-10-08","45,84","1,0","0,604292","2018-10-08T00:00:00"
"ARZZ3","ON","2018-12-17","0,23099332338","1,0","JRS CAP PROPRIO","2018-12-21","2018-12-21","53,75","1,0","0,429755","2018-12-21T00:00:00"
"ARZZ3","ON","2019-02-20","0,83102226964","1,0","DIVIDENDO","2019-02-26","2019-02-26","54,3","1,0","1,530428","2019-02-26T00:00:00"
"ARZZ3","ON","2019-04-30","0,19641373027","1,0","DIVIDENDO","2019-04-30","2019-04-30","51,0","1,0","0,385125","2019-04-30T00:00:00"
"ARZZ3","ON","2019-06-24","0,22379624077","1,0","JRS CAP PROPRIO","2019-06-27","2019-06-27","48,85","1,0","0,458129","2019-06-27T00:00:00"
"ARZZ3","ON","2019-09-30","0,07997447187","1,0","DIVIDENDO","2019-10-04","2019-10-04","55,52","1,0","0,144046","2019-10-04T00:00:00"
"ARZZ3","ON","2019-11-27","0,07958932611","1,0","DIVIDENDO","2019-12-03","2019-12-03","64,43","1,0","0,123528","2019-12-03T00:00:00"
"ARZZ3","ON","2019-11-27","0,19528978124","1,0","JRS CAP PROPRIO","2019-12-03","2019-12-03","64,43","1,0","0,303104","2019-12-03T00:00:00"
"ARZZ3","ON","2020-10-22","0,29662797786","1,0","JRS CAP PROPRIO","2020-10-29","2020-10-29","62,13","1,0","0,477431","2020-10-29T00:00:00"
"ARZZ3","ON","2020-10-22","0,23409968605","1,0","DIVIDENDO","2020-10-29","2020-10-29","62,13","1,0","0,37679","2020-10-29T00:00:00"
"ARZZ3","ON","2021-04-29","0,02592076985","1,0","DIVIDENDO","2021-04-29","2021-04-29","76,17","1,0","0,03403","2021-04-29T00:00:00"
